trial, KK, RRStd, RRPtn, HCStd, HCPtn, SAStd, SAPtn
1,68164 ,3040 ,98 ,18312 ,102 ,84020 ,22 
2,178017 ,65977 ,355 ,34951 ,137 ,32877 ,7 
3,443761 ,32389 ,71 ,12175 ,47 ,8085 ,31 
4,669952 ,19848 ,106 ,4338 ,144 ,41192 ,2 
5,134335 ,1063 ,117 ,17121 ,213 ,37653 ,107 
6,828052 ,7528 ,4 ,444 ,8 ,15014 ,34 
7,32771 ,3783 ,15 ,4837 ,109 ,9095 ,53 
8,70519 ,5025 ,31 ,11349 ,19 ,13587 ,45 
9,454951 ,2007 ,17 ,21209 ,29 ,951 ,77 
10,93201 ,39757 ,55 ,9563 ,91 ,50953 ,11 
11,22915 ,26139 ,23 ,16099 ,237 ,2583 ,47 
12,24315 ,38361 ,15 ,11945 ,53 ,40953 ,55 
13,181944 ,36860 ,22 ,2666 ,42 ,36506 ,2 
14,5441 ,8455 ,9 ,52383 ,67 ,6801 ,165 
15,2413763 ,8029 ,165 ,21997 ,31 ,1705 ,1 
16,43083 ,53305 ,37 ,7985 ,53 ,5883 ,135 
17,48898 ,6260 ,16 ,32026 ,10 ,2766 ,62 
18,127149 ,44943 ,57 ,15661 ,7 ,83019 ,27 
19,6387 ,4437 ,159 ,1315 ,17 ,6805 ,21 
20,26553 ,48551 ,143 ,46829 ,31 ,25853 ,19 
21,125117 ,13363 ,39 ,21539 ,31 ,31453 ,43 
22,40223 ,32159 ,39 ,15707 ,89 ,17821 ,47 
23,365174 ,53342 ,22 ,11636 ,66 ,16204 ,216 
24,57838 ,9166 ,66 ,59738 ,8 ,21092 ,42 
25,288279 ,24023 ,75 ,5635 ,11 ,12031 ,43 
26,69491 ,5163 ,25 ,56577 ,61 ,45545 ,11 
27,31293 ,18883 ,107 ,56927 ,63 ,60627 ,175 
28,40724 ,6886 ,86 ,8970 ,40 ,56700 ,54 
29,134649 ,11207 ,5 ,48651 ,77 ,37133 ,55 
30,536347 ,22719 ,59 ,34985 ,45 ,3343 ,5 
31,12023 ,9189 ,23 ,15269 ,25 ,48143 ,11 
32,167338 ,4488 ,152 ,3692 ,64 ,38230 ,16 
33,416431 ,1619 ,33 ,94591 ,23 ,26045 ,35 
34,453006 ,20144 ,52 ,10220 ,134 ,12754 ,68 
35,38129 ,16315 ,11 ,44931 ,153 ,4525 ,61 
36,139091 ,3247 ,27 ,16267 ,13 ,15391 ,73 
37,218988 ,12160 ,162 ,6058 ,30 ,21992 ,22 
38,19677 ,20049 ,63 ,2617 ,27 ,22283 ,93 
39,272248 ,17332 ,38 ,2218 ,58 ,4370 ,0 
40,381389 ,100971 ,51 ,7881 ,53 ,157325 ,73 
41,246686 ,41614 ,54 ,20818 ,68 ,59198 ,86 
42,868324 ,23054 ,6 ,27180 ,70 ,29228 ,128 
43,271160 ,9594 ,134 ,7044 ,310 ,6744 ,222 
44,26081 ,3517 ,105 ,3731 ,151 ,27553 ,1 
45,137057 ,11679 ,61 ,6909 ,17 ,19491 ,13 
46,228595 ,30201 ,3 ,20549 ,33 ,95771 ,47 
47,67199 ,20845 ,17 ,20883 ,11 ,14407 ,9 
48,121721 ,11621 ,5 ,14513 ,47 ,1321 ,3 
49,11461 ,41579 ,59 ,17711 ,15 ,1585 ,27 
50,6548 ,1478 ,214 ,18352 ,124 ,3642 ,128 
