trial, KK, RRStd, RRPtn, HCStd, HCPtn, SAStd, SAPtn
1,0 ,34 ,956 ,7 ,903 ,15 ,916 
2,0 ,34 ,990 ,7 ,915 ,14 ,917 
3,0 ,31 ,947 ,6 ,875 ,14 ,923 
4,0 ,30 ,950 ,6 ,910 ,12 ,932 
5,0 ,37 ,977 ,8 ,917 ,13 ,900 
6,0 ,31 ,981 ,6 ,884 ,12 ,945 
7,0 ,32 ,954 ,8 ,908 ,12 ,930 
8,0 ,31 ,953 ,7 ,918 ,12 ,893 
9,0 ,31 ,998 ,7 ,932 ,13 ,935 
10,0 ,37 ,974 ,7 ,929 ,13 ,925 
11,0 ,30 ,935 ,7 ,904 ,12 ,914 
12,0 ,36 ,981 ,8 ,925 ,16 ,923 
13,0 ,33 ,1008 ,7 ,927 ,13 ,922 
14,0 ,31 ,998 ,8 ,932 ,12 ,901 
15,0 ,35 ,994 ,7 ,871 ,11 ,909 
16,0 ,30 ,992 ,7 ,911 ,13 ,923 
17,0 ,35 ,967 ,9 ,913 ,16 ,938 
18,0 ,37 ,936 ,6 ,928 ,14 ,927 
19,0 ,36 ,993 ,7 ,924 ,13 ,932 
20,0 ,32 ,963 ,6 ,947 ,12 ,920 
21,0 ,30 ,985 ,7 ,929 ,11 ,935 
22,0 ,35 ,987 ,9 ,913 ,13 ,945 
23,0 ,34 ,992 ,6 ,924 ,12 ,927 
24,0 ,37 ,942 ,6 ,904 ,12 ,926 
25,0 ,37 ,997 ,9 ,912 ,14 ,936 
26,0 ,37 ,965 ,8 ,937 ,12 ,914 
27,0 ,35 ,988 ,7 ,920 ,14 ,902 
28,0 ,37 ,1020 ,7 ,906 ,13 ,909 
29,0 ,35 ,978 ,7 ,931 ,12 ,942 
30,0 ,35 ,988 ,6 ,922 ,14 ,938 
31,0 ,38 ,987 ,7 ,916 ,12 ,938 
32,0 ,36 ,977 ,8 ,924 ,13 ,918 
33,0 ,37 ,993 ,7 ,932 ,13 ,949 
34,0 ,31 ,959 ,7 ,916 ,12 ,896 
35,0 ,30 ,948 ,7 ,930 ,14 ,957 
36,0 ,35 ,969 ,6 ,914 ,13 ,951 
37,0 ,35 ,1021 ,7 ,934 ,13 ,941 
38,0 ,35 ,978 ,7 ,935 ,15 ,948 
39,0 ,37 ,968 ,8 ,908 ,12 ,874 
40,0 ,33 ,968 ,8 ,933 ,14 ,932 
41,0 ,35 ,991 ,7 ,938 ,14 ,934 
42,0 ,31 ,978 ,6 ,908 ,16 ,951 
43,0 ,36 ,950 ,8 ,964 ,13 ,936 
44,0 ,37 ,969 ,8 ,931 ,13 ,923 
45,0 ,34 ,983 ,6 ,921 ,15 ,941 
46,0 ,37 ,1010 ,7 ,855 ,15 ,937 
47,0 ,38 ,992 ,8 ,909 ,13 ,938 
48,0 ,37 ,979 ,8 ,940 ,11 ,941 
49,0 ,32 ,972 ,8 ,905 ,13 ,913 
50,0 ,34 ,971 ,7 ,925 ,14 ,890 
